index,race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Cluster,Psych_Label
14584,11,25,2,1,1,1,PH,5,1,4,2,5,1,4,5,4,1,5,4,3,3,4,5,5,5,5,1,5,5,4,3,3,3,4,5,4,3,5,1,4,4,4,3,5,2,5,4,5,1,5,1,5,1,5,4,5,5.0,0,Reserved
14585,13,15,1,1,2,1,US,4,1,5,1,5,1,5,1,5,1,2,2,5,4,1,1,1,1,1,1,1,5,3,4,1,1,1,5,4,5,4,1,5,3,3,4,5,1,3,3,5,1,5,1,4,1,5,3,3,5.0,3,Balanced
14586,3,30,2,2,1,3,SI,4,1,4,5,2,2,5,3,5,5,5,2,5,3,5,4,5,4,4,3,4,5,4,4,5,3,4,4,5,4,3,2,5,4,3,1,5,3,4,3,3,1,5,1,4,1,4,4,4,4.0,1,Striver
14587,3,51,1,2,1,1,US,4,1,5,2,5,1,5,4,5,2,4,2,5,2,1,1,2,2,4,5,2,4,1,5,2,5,1,5,5,5,5,2,5,1,1,1,5,2,5,5,3,1,4,1,5,1,4,2,5,5.0,3,Balanced
14588,3,47,1,2,2,1,US,2,3,2,3,3,2,3,3,4,2,4,1,5,1,2,3,2,5,3,5,2,2,2,4,2,4,2,4,4,3,4,2,5,1,3,1,4,2,3,4,3,1,5,1,4,1,5,3,5,5.0,1,Striver
14589,3,23,2,1,1,1,CZ,1,2,4,1,3,1,2,2,4,3,4,3,4,3,1,2,2,2,1,2,1,5,1,5,1,5,1,4,5,4,5,4,5,5,1,4,2,2,3,4,5,2,5,2,4,2,5,5,4,5.0,3,Balanced
14590,5,19,2,2,1,1,EG,1,4,3,4,4,4,3,4,3,4,5,3,4,3,3,4,4,3,3,3,4,4,1,5,1,5,1,5,5,5,4,2,5,3,2,4,4,4,3,5,4,3,5,2,5,1,5,3,3,5.0,1,Striver
14591,3,38,2,2,1,3,SI,5,1,5,2,5,2,4,4,4,1,3,3,4,4,2,3,3,2,3,2,2,4,2,3,2,5,2,4,4,4,4,2,3,3,3,3,5,3,4,4,4,4,4,4,4,2,5,3,5,4.0,3,Balanced
14592,3,21,1,2,1,5,US,4,5,2,5,5,4,2,5,2,5,5,4,5,2,4,5,5,5,5,4,1,5,1,5,1,5,1,5,5,4,5,2,5,2,5,2,5,1,5,4,5,4,2,5,5,4,5,5,5,2.0,0,Reserved
14593,3,46,2,1,1,1,NL,1,3,3,3,4,2,2,3,4,4,2,4,4,3,3,4,3,3,4,2,4,2,2,3,4,2,4,3,4,4,4,2,4,1,3,3,4,2,3,4,4,1,5,1,5,1,5,4,4,5.0,0,Reserved
14594,3,19,2,1,1,1,GR,2,1,2,5,2,4,2,1,5,5,1,5,2,3,3,1,5,4,2,3,4,4,1,5,2,3,1,4,3,5,5,4,5,1,2,1,5,5,5,4,2,1,2,1,3,4,5,3,2,3.0,3,Balanced
14595,3,55,2,1,1,1,IT,3,5,2,4,4,4,2,5,2,4,3,3,5,3,3,3,2,2,2,3,4,4,4,4,1,5,2,3,4,2,1,2,5,2,2,1,5,3,4,3,2,3,2,1,2,2,2,4,4,2.0,2,Internalizer
14596,3,18,1,1,2,1,CA,4,2,4,2,4,2,3,3,4,2,2,5,4,3,1,2,3,2,2,2,5,4,2,4,2,4,2,5,4,4,3,4,4,3,3,1,4,2,2,4,2,2,3,2,4,3,4,3,2,4.0,3,Balanced
14597,4,24,1,2,1,1,NL,3,2,3,3,4,2,4,4,5,2,1,3,5,2,1,3,2,2,4,4,4,2,3,3,3,5,3,5,4,4,2,5,4,4,2,1,4,3,4,4,3,4,5,1,3,1,4,4,5,4.0,1,Striver
14598,3,25,1,1,1,5,GB,4,1,4,1,5,2,5,1,4,2,4,4,4,2,2,3,3,2,4,2,3,4,4,4,3,4,2,4,4,5,4,3,5,2,3,3,4,2,4,4,5,1,5,1,5,1,5,5,5,5.0,1,Striver
14599,3,17,2,1,2,1,RO,3,3,3,3,2,3,2,3,4,3,3,3,4,3,3,3,4,4,3,3,2,4,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,4,3,3,5,2,5,2,3,3,4,5.0,1,Striver
14600,3,37,1,1,1,1,GB,3,2,4,3,5,3,4,3,5,2,4,3,4,2,3,1,3,3,4,3,4,3,4,2,4,2,4,2,4,4,3,4,3,3,3,3,3,3,3,3,5,1,4,1,4,1,5,3,3,3.0,0,Reserved
14601,1,16,1,1,1,1,US,5,3,5,1,5,3,5,3,5,2,1,5,5,4,4,1,1,1,3,4,2,4,4,4,3,2,4,1,4,5,5,1,5,4,1,5,5,2,4,5,5,1,5,1,5,5,5,5,5,5.0,0,Reserved
14602,13,19,2,2,1,1,HN,1,2,1,4,1,2,1,5,3,5,5,1,5,5,3,2,2,4,5,5,4,4,1,5,1,5,1,4,5,4,1,1,2,1,5,1,5,1,5,5,5,5,1,2,1,5,1,1,5,1.0,0,Reserved
14603,1,27,1,2,1,1,US,3,3,4,3,4,2,3,3,4,3,4,3,4,3,3,4,4,4,4,4,3,4,2,2,3,3,2,3,3,3,3,4,4,2,3,3,4,2,4,3,2,2,5,2,4,2,3,2,4,4.0,1,Striver
14604,3,24,1,1,1,1,US,1,5,1,5,1,5,1,5,1,5,5,3,4,1,4,4,4,4,4,4,1,2,1,5,1,5,2,3,4,2,4,5,3,5,1,1,2,3,2,4,5,2,5,2,3,2,4,4,5,1.0,2,Internalizer
14605,4,23,2,1,2,5,IN,2,4,1,4,2,2,2,5,2,4,2,4,1,4,2,2,2,2,4,2,1,2,1,5,2,5,4,4,4,3,3,2,4,4,1,1,2,4,2,3,2,4,3,2,2,5,5,2,4,3.0,0,Reserved
14606,4,26,1,2,1,1,US,2,4,5,5,2,5,5,5,3,5,3,4,5,4,5,5,5,4,4,2,4,5,3,5,5,5,2,5,5,4,3,3,5,3,5,2,4,2,3,4,4,5,5,5,4,3,5,5,5,3.0,1,Striver
14607,3,23,1,1,1,1,US,3,4,3,4,3,4,2,5,2,5,1,4,3,4,2,1,1,1,2,2,4,4,3,3,3,4,2,4,2,3,4,2,5,2,2,3,3,2,2,3,4,2,5,1,4,2,4,4,4,3.0,0,Reserved
